,t1_general_traditional_WIN%,t2_general_traditional_WIN%,t1_general_traditional_PTS,t2_general_traditional_PTS,t1_general_traditional_BLK,t2_general_traditional_BLK,t1_general_traditional_+/-,t2_general_traditional_+/-,t1_general_advanced_NetRtg,t2_general_advanced_NetRtg,t1_general_advanced_PIE,t2_general_advanced_PIE,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t2_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Steals,t2_general_opponent_Opponent's Steals,t1_clutch-traditional_Personal Fouls,t2_clutch-traditional_Personal Fouls,t1_clutch-advanced_Offensive Rebounding Percentage,t2_clutch-advanced_Offensive Rebounding Percentage,t1_clutch-advanced_Pace,t2_clutch-advanced_Pace,t1_clutch-advanced_Player Impact Estimate,t2_clutch-advanced_Player Impact Estimate,t1_seed,t2_seed,t1_general_traditional_FT%,t2_general_traditional_FT%,t1_general_advanced_DefRtg,t2_general_advanced_DefRtg,t1_general_advanced_POSS,t2_general_advanced_POSS,t1_general_defense_OPP_PTS_2ND_CHANCE,t2_general_defense_OPP_PTS_2ND_CHANCE,t1_clutch-traditional_Field Goal Percentage,t2_clutch-traditional_Field Goal Percentage,t1_clutch-traditional_Assists,t2_clutch-traditional_Assists
102,50.0,66.7,112.6,118.6,5.3,5.3,1.5,4.5,1.2,4.2,50.1,53.2,37.4,36.5,7.4,7.6,2.3,2.1,26.7,25.4,109.13,107.85,42.8,57.3,7.0,2.0,77.5,80.4,111.8,113.1,7172.0,7280.0,13.2,15.3,41.6,46.9,1.1,1.4
103,80.5,70.7,102.9,103.0,5.4,5.4,7.9,6.4,8.2,6.7,56.4,55.1,35.0,35.3,7.9,8.2,1.6,2.0,37.0,27.6,94.43,96.49,75.6,56.6,1.0,2.0,75.4,79.1,103.2,100.3,7572.0,7892.0,14.7,12.5,48.8,41.8,2.2,1.8
104,73.2,76.8,99.1,95.6,6.0,5.7,6.1,6.8,6.7,7.5,55.1,55.4,36.1,33.9,6.5,7.3,2.2,2.1,35.1,30.3,94.2,101.57,63.0,65.3,4.0,1.0,78.3,70.2,103.2,98.7,7397.0,7382.0,12.8,11.8,41.1,43.2,1.2,1.2
105,65.9,61.0,110.2,98.1,5.1,4.3,4.9,3.3,4.8,3.5,53.6,52.5,35.5,34.3,7.9,5.9,2.4,2.1,32.6,32.6,99.29,93.86,56.3,54.1,3.0,6.0,77.0,79.0,109.1,106.1,7937.0,7339.0,16.1,12.8,48.9,38.5,1.5,1.1
106,62.2,62.2,110.3,106.9,4.0,4.9,3.2,4.2,3.1,4.3,51.0,51.6,36.1,35.4,7.3,6.7,2.1,1.9,30.4,34.2,103.37,100.79,56.0,59.0,2.0,3.0,74.8,79.6,109.7,107.1,8019.0,7867.0,13.7,13.1,45.3,45.7,1.7,1.2
107,59.8,64.60000000000001,98.8,96.0,5.4,5.8,5.0,4.2,5.2,4.8,53.9,53.3,34.9,33.9,7.5,6.4,2.3,2.5,30.4,39.3,105.18,95.28,59.6,57.5,5.0,1.0,73.4,77.4,98.8,102.6,7790.0,7332.0,11.9,13.3,40.1,45.1,1.2,1.6
108,73.2,73.2,103.0,95.8,5.5,6.5,7.8,5.4,8.3,5.8,54.6,54.9,34.0,33.9,6.7,8.1,1.9,2.2,34.2,31.9,97.46,94.98,60.8,54.3,3.0,1.0,82.9,72.5,101.0,98.1,7726.0,7558.0,14.3,14.0,43.8,45.3,1.4,1.3
109,51.2,81.69999999999999,99.1,103.5,4.3,5.9,-2.2,10.6,-2.4,11.1,48.3,57.8,36.5,33.1,7.0,7.2,2.0,1.4,36.6,38.4,98.99,96.4,56.8,64.0,7.0,2.0,78.3,80.3,107.1,98.2,7763.0,7767.0,11.8,10.6,41.0,45.8,1.4,1.6
110,78.0,48.8,96.8,97.8,6.0,3.3,6.7,-1.0,7.6,-1.0,55.7,48.6,32.5,35.4,5.9,7.4,1.9,2.3,40.3,30.6,91.0,96.61,59.8,57.3,1.0,8.0,72.7,73.8,101.7,105.9,7268.0,7646.0,12.6,12.2,42.8,43.3,1.6,1.4
111,51.2,74.4,103.3,110.2,5.1,4.8,-0.1,7.3,-0.2,7.4,49.9,56.1,35.8,36.3,7.9,6.9,3.1,2.2,31.0,31.3,98.62,101.25,48.6,58.0,7.0,2.0,74.7,80.8,107.5,105.5,7898.0,8002.0,14.1,15.3,42.1,44.6,1.6,1.9
