TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Boston Celtics,42.0,23.0,19.0,54.8,3.5,9.5,3.1,6.2,50.0,0.9,2.4,37.6,2.4,2.8,87.1,0.7,2.2,2.9,1.5,0.8,0.4,0.4,0.2,1.9,2.0,0.7
Brooklyn Nets,44.0,24.0,20.0,54.5,4.2,9.8,3.3,7.3,44.3,1.1,2.9,38.8,2.2,3.1,70.3,1.1,2.8,3.8,1.6,1.1,0.4,0.5,0.6,2.6,2.4,0.0
Sacramento Kings,49.0,24.0,25.0,49.0,3.3,7.7,2.5,6.0,41.0,0.7,2.0,33.3,2.1,2.8,75.7,0.8,2.2,2.9,1.3,0.6,0.6,0.3,0.6,1.8,1.9,-0.4
Los Angeles Lakers,43.0,21.0,22.0,48.8,3.3,8.3,2.7,6.0,44.8,0.7,2.4,28.6,2.2,2.9,76.8,1.0,2.4,3.3,1.4,0.9,0.5,0.4,0.5,2.1,2.2,0.2
Atlanta Hawks,41.0,20.0,21.0,48.8,4.0,9.3,3.1,6.9,45.6,0.8,2.6,31.5,2.2,3.0,72.4,0.8,2.8,3.7,1.7,1.1,0.7,0.6,0.3,2.4,2.3,0.4
Oklahoma City Thunder,46.0,22.0,24.0,47.8,3.8,8.9,2.6,6.9,38.2,0.8,3.1,26.8,2.8,3.5,79.1,1.2,2.6,3.7,1.3,0.9,0.7,0.5,0.5,2.2,2.5,0.1
Detroit Pistons,42.0,20.0,22.0,47.6,4.1,9.6,3.1,7.0,44.4,1.0,2.4,40.0,2.4,2.9,83.6,1.1,2.6,3.7,1.4,1.1,0.5,0.3,0.5,2.3,2.0,-0.1
Orlando Magic,47.0,22.0,25.0,46.8,3.5,7.4,2.6,6.2,41.0,0.6,2.3,24.5,1.7,2.3,75.7,0.8,2.6,3.4,1.5,1.1,0.4,0.3,0.4,1.7,2.0,0.1
Miami Heat,45.0,21.0,24.0,46.7,3.5,7.1,2.4,6.3,38.9,0.5,2.5,21.2,1.7,2.5,66.4,1.1,2.5,3.6,1.4,1.1,0.7,0.3,0.4,2.0,1.9,-0.4
Charlotte Hornets,39.0,18.0,21.0,46.2,4.1,9.4,3.0,7.6,39.7,1.1,3.6,30.2,2.3,3.0,76.3,1.0,2.9,4.0,1.5,0.7,0.3,0.5,0.6,2.1,2.3,-0.2
Utah Jazz,33.0,15.0,18.0,45.5,3.3,8.3,2.6,6.0,42.7,0.6,2.2,27.0,2.6,3.2,80.2,1.1,2.4,3.5,1.1,1.1,0.5,0.5,0.5,2.1,2.2,0.4
Dallas Mavericks,46.0,20.0,26.0,43.5,3.7,8.2,2.7,6.7,39.5,0.8,3.0,25.9,2.1,2.9,71.1,1.0,2.5,3.5,1.1,0.7,0.3,0.3,0.3,2.0,2.1,-0.6
Minnesota Timberwolves,45.0,19.0,26.0,42.2,3.8,7.6,2.7,6.7,39.7,0.6,2.5,24.1,1.7,2.6,65.3,1.2,2.4,3.7,1.4,1.0,0.5,0.5,0.5,2.1,2.0,-1.1
Memphis Grizzlies,47.0,19.0,28.0,40.4,4.1,8.5,2.7,6.6,41.6,0.8,2.5,32.2,2.2,3.0,75.0,0.8,2.5,3.2,1.3,0.9,0.6,0.5,0.4,2.7,2.4,-1.2
Chicago Bulls,39.0,15.0,24.0,38.5,4.2,8.4,2.9,6.7,43.0,0.8,2.2,37.9,1.7,2.3,74.4,0.9,2.7,3.6,1.3,1.4,0.5,0.6,0.5,2.2,2.0,-1.2
Washington Wizards,39.0,15.0,24.0,38.5,4.6,10.6,3.6,8.5,42.4,0.9,3.4,27.8,2.5,3.2,78.9,1.4,2.7,4.2,2.2,1.4,0.8,0.5,0.5,2.9,2.5,-0.8
Cleveland Cavaliers,34.0,13.0,21.0,38.2,3.0,6.2,2.2,5.5,39.4,0.7,2.0,33.8,1.2,1.7,69.0,0.9,2.3,3.2,0.8,0.6,0.3,0.2,0.6,1.9,1.4,-1.1
New Orleans Pelicans,45.0,17.0,28.0,37.8,3.2,7.2,2.4,6.0,40.9,0.5,2.1,24.0,1.8,2.4,72.7,0.8,2.2,3.0,1.2,0.7,0.4,0.4,0.5,2.4,1.8,-0.9
Phoenix Suns,33.0,12.0,21.0,36.4,4.5,10.4,3.7,7.8,47.1,0.8,2.7,30.7,2.2,2.6,83.5,1.0,2.8,3.8,1.8,1.4,0.7,0.8,0.5,3.4,2.3,-1.3
New York Knicks,34.0,11.0,23.0,32.4,3.8,8.5,2.5,6.3,40.4,0.7,2.4,30.5,2.7,3.5,76.5,1.0,2.7,3.7,1.3,1.0,0.6,0.5,0.4,2.1,1.9,-1.0
