,t1_general_traditional_WIN%,t1_general_traditional_+/-,t1_general_advanced_NetRtg,t1_general_advanced_eFG%,t1_general_advanced_PIE,t1_clutch-traditional_Win Percentage,t1_clutch-traditional_Points,t1_clutch-opponent_Opponent's Field Goal Percentage,t1_clutch-opponent_Opponent's Offensive Rebounds,t1_seed,t1_series_wins,t2_general_traditional_WIN%,t2_general_traditional_3PM,t2_general_traditional_STL,t2_general_traditional_+/-,t2_general_advanced_PIE,t2_general_advanced_POSS,t2_clutch-traditional_Win Percentage,t2_clutch-traditional_Free Throw Percentage,t2_clutch-traditional_Defensive Rebounds,t2_clutch-advanced_Net Rating,t2_clutch-advanced_Offensive Rebounding Percentage,t2_clutch-opponent_Opponent's Turnovers,t2_seed,t2_series_wins,outcome
46,43.9,-1.5,-1.5,48.6,49.0,47.9,7.6,40.1,1.0,8,0,74.4,5.5,8.9,5.8,53.9,7311.0,70.5,76.1,2.6,17.8,26.7,1.5,1,4,0
47,51.2,0.5,0.3,46.3,49.6,54.8,7.8,37.5,1.0,4,4,50.0,6.5,8.6,-0.1,49.1,7476.0,52.1,72.2,2.6,0.8,34.6,1.3,5,3,1
48,57.3,2.5,2.6,47.1,53.3,45.5,8.1,38.7,1.2,2,4,47.6,5.0,7.4,-1.5,48.8,7563.0,58.5,85.4,3.4,9.1,31.4,1.3,7,0,1
49,54.900000000000006,1.7,1.9,48.4,51.3,45.5,10.2,39.7,1.5,7,1,68.30000000000001,4.5,8.3,3.9,53.8,7729.0,75.6,70.0,3.0,22.0,31.4,1.4,2,4,0
50,52.400000000000006,1.1,1.0,46.7,50.5,47.5,8.0,37.9,1.0,8,1,70.7,4.0,6.8,5.5,55.4,7441.0,64.3,78.0,2.7,10.2,35.1,0.9,1,4,0
51,63.4,4.4,4.5,49.5,52.7,55.0,7.7,44.4,1.0,5,1,67.10000000000001,7.3,8.7,5.0,54.4,7765.0,60.5,81.4,2.8,7.1,25.3,1.1,4,4,0
52,61.0,2.4,2.6,47.9,52.2,56.3,8.7,38.6,1.1,6,0,69.5,5.0,8.1,7.2,56.6,7428.0,53.8,68.4,2.5,-1.4,27.6,0.8,3,4,0
53,65.9,5.8,6.5,46.1,55.8,55.6,8.8,39.6,1.0,3,4,57.3,4.6,8.6,2.5,53.3,7475.0,45.5,79.3,2.7,2.1,29.1,1.4,2,3,1
54,74.4,5.8,6.3,47.1,53.9,70.5,9.1,36.5,1.0,1,4,51.2,5.9,7.2,0.5,49.6,7361.0,54.8,77.5,2.6,9.4,31.8,1.3,4,2,1
55,68.30000000000001,3.9,4.1,48.1,53.8,75.6,10.2,33.9,1.1,2,4,69.5,5.0,8.1,7.2,56.6,7428.0,53.8,68.4,2.5,-1.4,27.6,0.8,3,2,1
56,70.7,5.5,5.7,48.6,55.4,64.3,9.5,38.0,1.0,1,4,67.10000000000001,7.3,8.7,5.0,54.4,7765.0,60.5,81.4,2.8,7.1,25.3,1.1,4,3,1
57,65.9,5.8,6.5,46.1,55.8,55.6,8.8,39.6,1.0,3,4,74.4,5.5,8.9,5.8,53.9,7311.0,70.5,76.1,2.6,17.8,26.7,1.5,1,2,1
58,68.30000000000001,3.9,4.1,48.1,53.8,75.6,10.2,33.9,1.1,2,4,70.7,4.0,6.8,5.5,55.4,7441.0,64.3,78.0,2.7,10.2,35.1,0.9,1,2,1
59,65.9,5.8,6.5,46.1,55.8,55.6,8.8,39.6,1.0,3,4,68.30000000000001,4.5,8.3,3.9,53.8,7729.0,75.6,70.0,3.0,22.0,31.4,1.4,2,1,1
60,65.9,3.9,4.3,47.2,54.2,62.5,9.4,36.7,0.9,2,4,52.400000000000006,6.2,9.2,-0.7,49.3,7985.0,59.2,83.9,2.8,-1.1,32.8,1.1,7,1,1
61,54.900000000000006,0.9,0.8,50.1,50.5,58.8,9.5,39.3,1.2,3,3,53.7,6.6,7.5,0.8,50.4,7351.0,50.0,83.2,2.8,10.7,34.4,1.2,6,4,0
62,72.0,6.5,6.7,52.4,55.6,59.5,11.1,37.5,1.0,1,4,51.2,5.3,7.9,-1.5,49.0,7501.0,59.0,72.2,2.6,4.5,33.0,1.1,8,0,1
63,57.3,1.1,1.4,47.1,49.8,61.7,8.8,36.5,1.0,4,2,54.900000000000006,6.3,8.7,-0.3,48.5,7816.0,56.9,76.8,2.2,1.2,32.1,1.2,5,4,0
64,70.7,5.7,5.9,49.2,53.7,69.8,7.8,37.0,0.9,4,4,62.2,6.7,6.9,4.0,52.7,7467.0,55.8,70.5,2.5,-7.2,28.6,0.8,5,3,1
65,54.900000000000006,2.3,2.7,48.9,51.5,54.2,6.9,37.4,0.9,8,0,75.6,9.7,7.0,7.1,54.6,8034.0,69.2,75.4,2.4,9.3,28.7,0.6,1,4,0
66,59.8,2.0,2.2,48.3,53.1,56.4,8.6,37.2,1.1,7,1,72.0,6.2,7.5,7.8,56.5,7435.0,50.0,77.2,2.7,-4.2,38.9,1.3,2,4,0
67,61.0,2.2,2.3,49.6,52.2,60.0,9.3,41.7,1.2,6,1,63.4,8.1,6.7,2.3,50.4,7353.0,65.1,80.6,2.2,15.6,37.2,0.7,3,4,0
68,65.9,3.9,4.3,47.2,54.2,62.5,9.4,36.7,0.9,2,4,53.7,6.6,7.5,0.8,50.4,7351.0,50.0,83.2,2.8,10.7,34.4,1.2,6,2,1
69,72.0,6.5,6.7,52.4,55.6,59.5,11.1,37.5,1.0,1,4,54.900000000000006,6.3,8.7,-0.3,48.5,7816.0,56.9,76.8,2.2,1.2,32.1,1.2,5,0,1
70,70.7,5.7,5.9,49.2,53.7,69.8,7.8,37.0,0.9,4,2,75.6,9.7,7.0,7.1,54.6,8034.0,69.2,75.4,2.4,9.3,28.7,0.6,1,4,0
71,72.0,7.8,8.3,49.2,56.5,50.0,10.3,44.8,1.1,2,4,63.4,8.1,6.7,2.3,50.4,7353.0,65.1,80.6,2.2,15.6,37.2,0.7,3,2,1
72,65.9,3.9,4.3,47.2,54.2,62.5,9.4,36.7,0.9,2,4,72.0,5.8,6.4,6.5,55.6,7647.0,59.5,65.8,3.3,12.5,34.9,1.2,1,3,1
73,75.6,7.1,7.0,53.4,54.6,69.2,8.0,40.2,0.8,1,1,72.0,6.2,7.5,7.8,56.5,7435.0,50.0,77.2,2.7,-4.2,38.9,1.3,2,4,0
74,65.9,3.9,4.3,47.2,54.2,62.5,9.4,36.7,0.9,2,3,72.0,6.2,7.5,7.8,56.5,7435.0,50.0,77.2,2.7,-4.2,38.9,1.3,2,4,0
75,61.0,2.2,2.1,49.2,51.0,57.7,8.9,41.2,0.9,4,4,51.2,6.1,8.0,1.9,50.3,7742.0,45.8,77.5,2.3,-6.0,30.6,1.2,5,2,1
76,78.0,6.7,7.6,49.7,55.7,71.8,9.4,42.8,1.0,1,4,48.8,6.2,7.3,-1.0,48.6,7646.0,51.9,72.9,2.7,8.4,30.6,0.8,8,1,1
77,50.0,0.6,0.7,48.7,50.1,54.7,9.8,38.1,1.0,7,2,63.4,6.1,6.4,3.9,53.8,7622.0,52.4,73.0,2.1,7.2,37.4,0.9,2,4,0
78,50.0,1.9,2.0,48.7,51.4,40.4,6.5,42.7,0.8,6,2,59.8,5.8,6.8,1.4,51.3,7513.0,62.2,80.3,2.0,9.2,40.4,1.0,3,4,0
79,73.2,6.1,6.7,49.5,55.1,72.7,9.3,38.5,1.2,4,4,59.8,7.2,7.3,3.7,51.6,7232.0,54.5,79.4,2.7,10.4,32.1,1.0,5,0,1
80,53.7,0.2,0.3,48.8,51.2,53.7,9.7,41.5,1.5,3,1,57.3,3.5,6.5,1.6,52.3,7675.0,57.5,82.2,2.8,21.3,26.4,0.8,6,4,0
81,54.900000000000006,2.5,2.6,49.5,51.8,43.9,9.3,45.2,1.4,7,3,65.9,10.2,6.7,5.5,54.7,8067.0,51.2,82.1,2.6,2.5,31.8,1.0,2,4,0
82,53.7,1.5,1.8,49.2,51.5,52.5,8.1,38.2,1.0,8,2,76.8,6.4,6.6,6.8,55.4,7382.0,74.4,72.4,3.1,11.3,30.3,0.9,1,4,0
83,61.0,2.2,2.1,49.2,51.0,57.7,8.9,41.2,0.9,4,3,78.0,6.8,7.1,6.7,55.7,7268.0,71.8,70.7,2.3,11.4,40.3,1.1,1,4,0
84,63.4,3.9,4.1,51.7,53.8,52.4,8.0,45.4,0.7,2,4,59.8,5.8,6.8,1.4,51.3,7513.0,62.2,80.3,2.0,9.2,40.4,1.0,3,1,1
85,73.2,6.1,6.7,49.5,55.1,72.7,9.3,38.5,1.2,4,4,76.8,6.4,6.6,6.8,55.4,7382.0,74.4,72.4,3.1,11.3,30.3,0.9,1,3,1
86,57.3,1.6,1.6,48.7,52.3,57.5,8.5,35.2,1.0,6,3,65.9,10.2,6.7,5.5,54.7,8067.0,51.2,82.1,2.6,2.5,31.8,1.0,2,4,0
87,78.0,6.7,7.6,49.7,55.7,71.8,9.4,42.8,1.0,1,2,63.4,6.1,6.4,3.9,53.8,7622.0,52.4,73.0,2.1,7.2,37.4,0.9,2,4,0
88,73.2,6.1,6.7,49.5,55.1,72.7,9.3,38.5,1.2,4,4,65.9,10.2,6.7,5.5,54.7,8067.0,51.2,82.1,2.6,2.5,31.8,1.0,2,2,1
89,73.2,6.1,6.7,49.5,55.1,72.7,9.3,38.5,1.2,4,2,63.4,6.1,6.4,3.9,53.8,7622.0,52.4,73.0,2.1,7.2,37.4,0.9,2,4,0
90,59.8,5.0,5.2,49.3,53.9,53.5,7.9,36.6,1.2,5,4,53.7,6.4,6.9,-0.9,50.8,7503.0,60.5,71.0,3.0,10.8,33.9,1.6,4,0,1
91,61.0,3.8,3.8,48.4,52.0,56.3,9.7,38.8,0.9,2,4,50.0,6.8,7.7,-0.5,48.5,7870.0,42.6,78.8,2.6,-11.0,29.2,1.4,7,0,1
92,64.60000000000001,4.2,4.8,48.8,53.3,57.7,9.7,40.7,1.0,1,4,48.8,4.2,6.9,0.8,50.2,7465.0,42.9,69.1,2.4,-12.6,35.1,1.0,8,0,1
93,50.0,-0.8,-0.9,50.4,49.9,45.8,9.2,47.2,0.8,6,4,57.3,6.5,7.1,1.0,51.4,7719.0,59.0,76.8,2.1,5.7,28.0,1.2,3,2,1
94,81.69999999999999,7.2,7.6,50.9,55.2,84.2,9.7,32.3,0.9,1,2,51.2,8.5,9.1,-0.3,48.9,8228.0,51.3,73.6,2.2,-5.5,40.6,1.0,8,4,0
95,51.2,-0.1,-0.2,51.1,49.9,50.0,10.4,42.4,1.5,7,1,74.4,9.6,6.7,7.3,56.1,8002.0,62.2,78.8,2.2,4.0,31.3,1.2,2,4,0
96,54.900000000000006,1.6,1.7,50.1,51.4,52.2,7.3,39.4,1.1,6,1,70.7,7.3,7.2,8.4,56.9,7440.0,50.0,66.2,2.1,0.5,36.8,0.9,3,4,0
97,63.4,4.9,4.9,49.9,52.9,54.2,7.8,44.3,0.7,5,3,62.2,4.3,7.0,2.9,53.1,7661.0,56.5,81.4,2.6,8.8,37.0,0.9,4,4,0
98,61.0,3.8,3.8,48.4,52.0,56.3,9.7,38.8,0.9,2,4,50.0,7.4,6.1,-0.8,49.9,7682.0,45.8,73.3,2.6,-9.8,29.2,1.1,6,2,1
99,59.8,5.0,5.2,49.3,53.9,53.5,7.9,36.6,1.2,5,2,64.60000000000001,5.5,7.1,4.2,53.3,7332.0,57.7,76.9,2.4,13.4,39.3,1.1,1,4,0
100,74.4,7.3,7.4,55.1,56.1,62.2,9.4,43.5,1.2,2,2,70.7,7.3,7.2,8.4,56.9,7440.0,50.0,66.2,2.1,0.5,36.8,0.9,3,4,0
101,51.2,-0.3,-0.3,51.2,48.9,51.3,7.3,42.7,0.9,8,1,62.2,4.3,7.0,2.9,53.1,7661.0,56.5,81.4,2.6,8.8,37.0,0.9,4,4,0
