TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Indiana Pacers,52.0,26.0,26.0,50.0,4.2,9.1,2.8,6.9,41.0,0.7,2.3,32.5,2.7,3.2,83.2,1.2,2.8,4.0,1.5,1.1,0.6,0.3,0.6,2.8,0.0,1.1
San Antonio Spurs,32.0,16.0,16.0,50.0,4.6,10.3,3.0,7.1,42.1,0.7,1.7,40.0,3.6,4.7,77.2,1.4,2.7,4.1,1.4,1.2,0.5,0.5,0.4,2.9,0.0,-0.3
Los Angeles Lakers,49.0,23.0,26.0,46.9,3.9,8.1,2.2,6.0,37.3,0.7,2.2,31.8,3.0,4.0,74.1,1.1,2.6,3.7,1.1,1.0,0.4,0.5,0.4,2.1,0.0,-0.2
Los Angeles Clippers,50.0,23.0,27.0,46.0,5.0,10.0,3.2,7.7,41.5,0.5,1.3,35.4,3.2,4.1,77.3,1.3,3.1,4.4,2.2,1.4,0.4,0.5,0.4,3.0,0.0,-0.4
Golden State Warriors,49.0,22.0,27.0,44.9,3.9,8.5,2.9,7.1,40.9,0.7,2.2,31.1,2.0,2.9,70.7,1.1,3.0,4.1,1.6,0.9,0.4,0.4,0.3,2.6,0.0,0.8
Cleveland Cavaliers,38.0,17.0,21.0,44.7,3.7,7.3,2.4,6.0,39.9,0.5,1.5,31.6,2.1,2.7,77.2,1.2,2.2,3.4,1.4,1.0,0.5,0.4,0.4,2.3,0.0,-0.6
Milwaukee Bucks,47.0,20.0,27.0,42.6,3.9,8.6,2.5,6.3,40.1,0.3,1.0,28.3,3.3,4.0,83.0,1.0,2.8,3.8,1.3,1.0,0.4,0.2,0.4,3.0,0.0,-0.9
Toronto Raptors,46.0,19.0,27.0,41.3,4.0,8.9,2.8,6.2,44.9,0.8,2.2,35.4,2.7,3.3,81.3,1.0,2.3,3.2,1.4,1.1,0.6,0.6,0.4,2.5,0.0,0.6
Utah Jazz,41.0,14.0,27.0,34.1,3.9,8.2,2.3,5.5,42.3,0.3,1.0,31.0,3.2,4.0,79.4,0.8,2.2,3.0,1.4,1.3,0.5,0.4,0.5,2.9,0.0,-1.5
New York Knicks,47.0,16.0,31.0,34.0,4.2,8.4,2.7,7.0,38.6,0.5,1.8,29.8,2.4,3.3,74.0,1.0,2.3,3.3,1.3,0.9,0.7,0.2,0.5,2.9,0.0,-2.1
Portland Trail Blazers,48.0,16.0,32.0,33.3,3.7,6.9,2.1,5.7,37.5,0.4,1.6,28.0,2.1,3.0,71.8,1.2,2.0,3.1,1.3,1.3,0.4,0.4,0.4,2.6,0.0,-1.4
New Orleans Hornets,48.0,15.0,33.0,31.3,4.4,7.9,2.4,7.3,32.9,0.7,2.2,29.9,2.5,3.2,76.6,1.3,2.4,3.6,1.5,1.1,0.5,0.3,0.7,3.0,0.0,-1.9
Charlotte Bobcats,47.0,12.0,35.0,25.5,4.3,8.0,2.6,6.5,40.7,0.3,1.1,26.4,2.4,3.4,71.0,1.0,2.3,3.3,1.5,1.3,0.7,0.4,0.6,2.7,0.0,-1.7
Atlanta Hawks,38.0,9.0,29.0,23.7,4.5,8.9,2.8,6.6,42.0,0.5,1.6,29.5,2.9,3.8,76.4,1.2,2.7,3.9,1.3,1.4,0.5,0.3,0.4,3.2,0.0,-2.0
