TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Phoenix Suns,43.0,24.0,19.0,55.8,3.4,7.7,2.4,5.1,46.6,0.5,1.5,34.9,2.5,3.1,80.3,0.6,2.2,2.8,1.3,0.7,0.3,0.3,0.1,1.8,2.1,-0.4
Philadelphia 76ers,47.0,26.0,21.0,55.3,3.9,9.1,2.8,6.0,46.8,0.3,0.9,29.5,3.2,4.0,80.1,0.9,2.6,3.5,1.2,0.9,0.6,0.6,0.3,2.1,2.6,0.9
Miami Heat,49.0,26.0,23.0,53.1,4.4,10.5,3.2,7.1,45.7,0.6,1.9,33.7,3.4,4.4,77.1,0.9,2.7,3.6,1.5,0.9,0.6,0.8,0.5,2.5,2.9,0.0
Houston Rockets,47.0,24.0,23.0,51.1,3.5,6.9,2.1,5.7,36.3,0.4,1.5,29.6,2.3,2.8,81.7,0.8,2.2,3.0,1.0,0.8,0.4,0.4,0.5,1.8,2.1,-0.3
Utah Jazz,42.0,21.0,21.0,50.0,3.9,9.0,2.7,6.1,44.0,0.5,1.4,33.3,3.2,3.9,81.1,1.0,2.6,3.5,1.5,1.2,0.4,0.4,0.5,2.4,2.7,0.1
Detroit Pistons,56.0,27.0,29.0,48.2,4.2,8.5,2.8,7.1,39.1,0.4,1.6,25.0,2.5,3.1,80.0,1.3,2.6,3.9,1.4,1.0,0.5,0.6,0.5,2.8,2.2,-0.3
Chicago Bulls,46.0,22.0,24.0,47.8,4.3,9.6,2.9,7.2,40.5,0.7,1.7,38.8,3.0,3.9,78.1,1.2,2.9,4.1,1.2,1.0,0.5,0.7,0.6,2.4,2.6,0.3
Toronto Raptors,43.0,20.0,23.0,46.5,3.6,7.7,2.5,5.6,45.6,0.6,1.6,36.8,2.0,2.6,78.6,0.7,2.4,3.1,1.3,0.9,0.3,0.4,0.5,1.8,2.1,-0.4
Milwaukee Bucks,47.0,21.0,26.0,44.7,3.6,7.8,2.3,5.7,41.0,0.4,1.4,28.8,2.7,3.5,78.5,1.0,2.3,3.3,1.2,1.0,0.3,0.4,0.4,2.3,2.4,-0.6
New Jersey Nets,44.0,19.0,25.0,43.2,4.0,8.9,3.0,6.7,44.7,0.9,2.1,42.4,2.0,2.6,78.9,0.8,2.1,2.8,1.2,1.0,0.7,0.4,0.4,2.6,2.1,0.0
Indiana Pacers,56.0,24.0,32.0,42.9,4.3,9.3,2.9,6.9,42.5,0.6,1.9,32.4,2.8,3.7,76.3,1.0,2.6,3.6,1.2,1.2,0.5,0.5,0.5,2.5,2.7,-0.8
Golden State Warriors,48.0,19.0,29.0,39.6,3.5,7.7,2.2,6.0,36.1,0.3,1.2,22.0,3.1,3.9,80.0,1.0,2.3,3.4,1.0,1.0,0.4,0.4,0.4,2.4,2.5,-1.1
New York Knicks,49.0,19.0,30.0,38.8,3.5,7.9,2.4,6.0,40.3,0.6,2.0,30.3,2.4,2.9,85.7,0.7,2.1,2.9,1.2,0.8,0.3,0.3,0.5,2.2,2.0,-0.9
Charlotte Bobcats,50.0,19.0,31.0,38.0,4.2,8.0,2.6,6.8,38.3,0.5,1.8,28.1,2.3,3.2,73.1,1.1,2.7,3.9,1.5,0.9,0.6,0.5,0.7,2.5,2.4,-0.4
Oklahoma City Thunder,43.0,16.0,27.0,37.2,3.6,7.4,2.5,5.7,43.6,0.3,1.1,27.1,2.1,2.7,78.0,1.0,2.5,3.5,1.2,1.1,0.4,0.4,0.5,2.1,2.0,-0.4
Minnesota Timberwolves,46.0,17.0,29.0,37.0,3.9,7.7,2.6,6.2,41.5,0.6,1.8,34.1,1.8,2.4,77.3,0.8,2.0,2.8,1.3,1.1,0.4,0.3,0.4,2.4,1.9,-1.7
Memphis Grizzlies,38.0,13.0,25.0,34.2,4.1,7.8,2.3,6.1,38.2,0.3,1.4,24.5,2.8,3.5,80.3,0.9,2.3,3.2,1.0,1.2,0.5,0.5,0.7,2.8,2.5,-1.7
Los Angeles Clippers,32.0,10.0,22.0,31.3,4.6,8.5,2.9,7.1,40.7,0.6,1.8,33.9,2.2,2.7,79.3,1.0,2.8,3.8,1.5,1.4,0.5,0.5,0.8,2.9,1.9,-1.8
Washington Wizards,40.0,12.0,28.0,30.0,3.4,6.6,2.1,5.3,40.3,0.4,1.2,31.9,2.0,2.6,76.2,1.0,2.0,3.0,0.9,1.1,0.4,0.4,0.4,2.2,1.8,-1.8
Sacramento Kings,37.0,9.0,28.0,24.3,4.7,9.1,3.0,7.8,38.2,0.7,2.3,30.6,2.5,3.3,74.0,1.1,3.4,4.5,1.5,1.1,0.4,0.5,0.6,3.3,2.4,-1.4
