,t1_general_traditional_WIN%,t1_general_traditional_3PM,t1_general_traditional_+/-,t1_general_advanced_NetRtg,t1_general_advanced_AST,t1_general_advanced_PIE,t1_general_opponent_Opponent's 3 Point Field Goal Percentage,t1_general_opponent_Opponent's Free Throw Percentage,t1_general_opponent_Opponent's Turnovers,t1_clutch-traditional_Win Percentage,t1_clutch-advanced_Defensive Rebounding Percentage,t1_seed,t2_general_traditional_WIN%,t2_general_traditional_FTM,t2_general_traditional_PFD,t2_general_traditional_+/-,t2_general_advanced_OffRtg,t2_general_advanced_NetRtg,t2_general_advanced_POSS,t2_general_opponent_Opponent's 3 Point Field Goals Made,t2_general_opponent_Opponent's Rebounds,t2_clutch-traditional_3 Point Field Goals Made,t2_clutch-traditional_Free Throw Percentage,t2_clutch-opponent_Opponent's Field Goals Made,t2_seed
211,61.6,10.2,2.0,1.9,18.9,52.0,34.1,78.8,14.7,61.1,63.0,4.0,60.3,19.7,21.7,2.9,111.9,2.7,7306.0,13.1,42.5,0.9,72.3,3.4,5.0
212,68.30000000000001,7.7,5.3,5.6,17.2,52.6,35.1,77.1,13.9,67.7,72.1,2.0,68.30000000000001,16.5,19.8,4.8,106.0,5.3,7377.0,5.1,40.3,0.7,73.4,2.3,3.0
213,70.7,4.0,5.5,5.7,18.2,55.4,33.4,75.3,13.5,64.3,69.1,1.0,67.10000000000001,19.8,0.0,5.0,108.6,5.4,7765.0,5.0,43.9,0.6,81.4,2.6,4.0
214,62.2,9.4,4.8,4.9,17.4,52.8,34.4,76.5,15.0,55.8,65.9,6.0,69.5,21.2,23.4,7.0,111.3,7.3,7954.0,7.3,43.7,0.6,76.4,2.2,3.0
215,61.0,6.1,2.2,2.1,15.3,51.0,35.6,74.2,13.2,57.7,69.6,4.0,78.0,17.3,20.9,6.7,109.3,7.6,7268.0,4.0,40.9,0.7,70.7,2.6,1.0
216,57.3,7.3,1.6,1.7,16.4,50.7,35.3,76.9,13.7,61.5,65.8,4.0,52.400000000000006,17.2,19.9,0.3,106.8,0.3,7547.0,7.2,41.9,0.6,77.1,3.3,5.0
217,61.0,6.5,3.7,4.2,16.2,52.5,34.4,74.6,14.0,56.5,64.4,1.0,58.5,21.3,0.1,2.3,103.2,2.6,7694.0,5.5,40.3,0.2,75.0,2.7,4.0
218,57.3,3.5,1.6,1.6,16.5,52.3,34.7,73.2,12.8,57.5,65.7,6.0,65.9,14.5,19.8,5.5,110.2,5.4,8067.0,6.3,45.9,0.7,82.1,3.0,2.0
219,51.2,7.4,-0.1,-0.2,17.1,49.9,35.8,76.0,14.7,50.0,61.5,7.0,74.4,18.0,21.5,7.3,112.9,7.4,8002.0,6.1,42.8,0.8,78.8,2.8,2.0
220,63.4,6.9,3.9,4.2,17.2,51.9,35.2,76.8,15.5,61.2,62.3,2.0,52.400000000000006,18.0,0.1,1.0,102.1,1.0,7828.0,4.5,44.8,0.6,73.4,2.4,7.0
221,70.7,5.6,5.7,5.9,15.3,53.7,33.0,75.4,15.6,69.8,69.2,4.0,75.6,19.0,0.0,7.1,112.7,7.0,8034.0,6.0,46.1,0.6,75.4,2.4,1.0
222,66.7,14.2,4.5,4.2,19.3,53.2,36.5,77.5,12.6,67.5,70.6,2.0,63.9,16.2,18.3,5.9,116.5,5.8,7423.0,14.8,43.4,0.9,79.1,2.9,3.0
