TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Charlotte Hornets,49.0,27.0,22.0,55.1,3.8,7.8,2.4,6.3,39.1,0.4,1.6,26.6,2.4,3.0,82.2,1.0,2.2,3.2,1.4,0.8,0.5,0.5,0.5,2.2,0.0,0.8
Minnesota Timberwolves,41.0,22.0,19.0,53.7,3.7,7.5,2.3,6.0,38.1,0.3,1.4,23.7,2.6,3.2,81.1,1.0,2.4,3.4,1.4,1.0,0.4,0.5,0.4,2.2,0.0,-0.4
Orlando Magic,36.0,19.0,17.0,52.8,4.0,8.4,2.7,6.1,44.5,0.6,1.7,36.1,2.4,3.0,79.4,0.7,2.5,3.1,1.4,0.9,0.6,0.4,0.4,2.0,0.0,0.4
Philadelphia 76ers,46.0,24.0,22.0,52.2,3.6,6.8,2.0,5.5,36.5,0.1,0.9,9.8,2.7,3.2,82.6,1.1,2.3,3.4,1.1,1.1,0.7,0.2,0.6,2.0,0.0,0.5
Atlanta Hawks,47.0,23.0,24.0,48.9,3.8,7.4,2.2,5.3,41.4,0.5,1.4,32.4,2.6,3.4,74.5,0.7,2.5,3.3,1.1,1.1,0.5,0.4,0.3,2.5,0.0,-0.6
Washington Wizards,41.0,20.0,21.0,48.8,3.7,7.4,2.4,5.7,41.6,0.3,0.9,31.6,2.4,2.9,82.4,1.0,2.4,3.4,1.2,0.8,0.5,0.3,0.4,2.4,0.0,-0.1
Miami Heat,53.0,25.0,28.0,47.2,4.5,7.6,2.4,7.1,34.1,0.4,1.5,29.9,2.3,3.0,76.1,1.2,3.2,4.5,1.4,1.1,0.3,0.6,0.5,2.4,0.0,-0.6
Utah Jazz,43.0,20.0,23.0,46.5,4.2,8.6,2.7,6.8,39.5,0.3,1.2,22.6,2.9,3.7,78.3,1.4,2.7,4.1,1.6,1.1,0.5,0.5,0.6,2.8,0.0,-0.5
Denver Nuggets,41.0,19.0,22.0,46.3,4.4,7.6,2.6,7.4,34.8,0.6,2.2,25.0,2.0,2.7,73.4,1.4,2.5,3.9,1.4,1.0,0.7,0.5,0.5,2.8,0.0,-0.7
Los Angeles Clippers,41.0,19.0,22.0,46.3,4.2,8.4,2.6,6.8,37.5,0.4,1.4,27.6,2.9,4.1,69.4,1.4,2.6,4.0,1.4,1.1,0.5,0.6,0.5,2.7,0.0,-0.6
Seattle SuperSonics,44.0,20.0,24.0,45.5,3.9,7.4,2.6,6.6,39.4,0.4,1.7,25.0,1.7,2.4,70.8,1.2,2.5,3.8,1.3,0.8,0.4,0.4,0.4,2.4,0.0,-0.4
Cleveland Cavaliers,40.0,18.0,22.0,45.0,3.7,8.5,2.6,5.9,44.5,0.4,1.2,34.7,2.8,3.5,80.4,1.0,2.5,3.5,1.4,0.8,0.6,0.4,0.6,2.4,0.1,0.5
Phoenix Suns,45.0,20.0,25.0,44.4,4.3,8.8,3.1,7.1,43.9,0.6,1.6,35.1,2.0,2.8,73.4,1.2,2.4,3.6,1.8,1.1,0.6,0.4,0.4,2.7,0.0,-0.3
Indiana Pacers,49.0,21.0,28.0,42.9,4.0,8.0,2.2,5.8,38.7,0.6,1.9,33.7,3.0,3.9,75.9,0.8,2.5,3.3,1.5,1.1,0.6,0.5,0.5,2.3,0.0,-0.6
New York Knicks,54.0,23.0,31.0,42.6,3.8,7.1,2.1,5.9,35.5,0.6,1.7,34.4,2.3,3.1,75.8,1.0,2.6,3.6,1.1,1.1,0.4,0.2,0.4,2.4,0.0,-0.8
Houston Rockets,58.0,24.0,34.0,41.4,4.7,9.2,2.9,7.8,37.2,0.5,2.0,26.3,2.9,3.7,79.1,1.3,2.6,3.9,1.1,1.1,0.6,0.5,0.5,2.8,0.0,-1.1
Chicago Bulls,44.0,18.0,26.0,40.9,4.0,8.3,2.6,6.0,43.7,0.4,1.0,41.3,2.6,3.5,74.8,0.9,2.3,3.3,1.6,1.5,0.7,0.3,0.5,3.5,0.0,-0.3
Memphis Grizzlies,43.0,16.0,27.0,37.2,3.6,6.8,2.0,5.5,37.4,0.3,1.4,23.0,2.4,3.0,79.2,0.9,2.4,3.3,1.2,1.3,0.5,0.6,0.4,2.4,0.0,-0.9
Golden State Warriors,41.0,8.0,33.0,19.5,3.5,6.2,2.1,5.9,35.4,0.1,0.9,14.3,2.0,2.8,70.4,1.3,2.0,3.4,1.0,1.4,0.6,0.6,0.4,3.0,0.0,-2.4
