TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Seattle SuperSonics,47.0,24.0,23.0,51.1,3.8,7.4,2.5,6.3,38.9,0.4,1.6,26.0,2.0,2.9,69.6,1.2,2.3,3.5,1.4,1.0,0.6,0.5,0.7,2.1,0.0,-0.6
Orlando Magic,49.0,24.0,25.0,49.0,4.2,7.7,2.4,6.7,36.1,0.6,1.7,32.9,2.3,3.1,73.4,1.0,2.5,3.5,1.4,0.9,0.5,0.5,0.4,3.1,0.0,-1.1
Charlotte Hornets,45.0,22.0,23.0,48.9,4.2,7.6,2.3,6.1,37.5,0.4,1.4,26.2,2.7,3.6,74.1,1.1,2.6,3.7,1.4,0.9,0.6,0.3,0.4,2.2,0.0,-0.3
Cleveland Cavaliers,43.0,20.0,23.0,46.5,4.0,7.4,2.3,6.1,37.5,0.1,0.7,13.8,2.8,4.0,70.2,1.3,2.6,4.0,1.2,1.0,0.7,0.5,0.6,2.6,0.0,0.0
Boston Celtics,49.0,22.0,27.0,44.9,4.2,8.2,2.2,5.9,37.9,0.7,2.0,32.0,3.1,4.1,74.3,0.7,2.6,3.3,1.4,1.2,0.7,0.3,0.4,2.7,0.0,-0.4
Los Angeles Clippers,42.0,17.0,25.0,40.5,5.1,9.7,2.9,7.4,39.8,0.7,2.0,34.1,3.2,4.3,73.9,1.2,2.9,4.0,1.5,1.7,0.6,0.8,0.6,3.4,0.0,-1.4
San Antonio Spurs,30.0,12.0,18.0,40.0,4.5,9.2,2.7,6.6,40.4,0.6,1.6,36.7,3.2,4.9,66.0,1.0,2.9,3.9,1.4,1.0,0.6,0.2,0.7,2.2,0.0,-0.1
Atlanta Hawks,47.0,18.0,29.0,38.3,3.4,6.0,1.8,5.2,34.7,0.3,1.0,28.6,2.1,2.7,79.2,1.1,2.2,3.3,1.0,1.0,0.4,0.4,0.6,2.3,0.0,-1.0
New Jersey Nets,40.0,15.0,25.0,37.5,3.3,6.7,2.1,5.7,36.3,0.3,1.3,21.2,2.3,3.1,75.4,1.1,2.0,3.1,1.0,0.9,0.6,0.5,0.4,2.7,0.0,-0.9
Detroit Pistons,43.0,16.0,27.0,37.2,3.7,6.9,2.0,5.7,34.3,0.5,1.5,31.3,2.5,3.7,67.7,1.2,2.4,3.7,1.0,1.1,0.5,0.4,0.5,2.3,0.0,-1.1
Vancouver Grizzlies,40.0,14.0,26.0,35.0,3.6,7.3,2.1,5.6,36.9,0.3,1.1,30.2,2.8,3.3,85.0,0.9,2.0,2.9,1.1,1.1,0.5,0.3,0.6,2.6,0.0,-0.7
Golden State Warriors,38.0,13.0,25.0,34.2,3.6,6.3,2.0,5.2,37.9,0.2,1.0,24.3,2.2,3.1,70.7,0.8,2.1,2.9,1.4,1.3,0.6,0.4,0.5,2.7,0.0,-1.9
Washington Wizards,39.0,13.0,26.0,33.3,3.7,7.5,2.2,5.8,37.2,0.2,1.3,18.4,3.0,3.4,89.3,0.9,2.3,3.2,1.2,0.9,0.5,0.4,0.4,2.4,0.0,-0.3
Chicago Bulls,47.0,13.0,34.0,27.7,3.8,7.0,2.4,6.0,39.8,0.3,1.4,24.6,1.9,2.6,72.4,0.9,2.2,3.1,1.6,0.9,0.5,0.5,0.4,2.8,0.0,-1.5
