TEAM,Games Played,Wins,Losses,Win Percentage,Minutes Played,Points,Field Goals Made,Field Goals Attempted,Field Goal Percentage,3 Point Field Goals Made,3 Point Field Goals Attempted,3 Point Field Goal Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Rebounds,Assists,Turnovers,Steals,Blocks,Blocks Against,Personal Fouls,Personal Fouls Drawn,Plus-Minus
Utah Jazz,37.0,20.0,17.0,54.1,4.0,8.6,2.6,6.0,42.8,0.2,0.8,26.7,3.3,4.6,72.2,1.1,2.5,3.6,1.6,1.1,0.9,0.6,0.4,2.8,0.0,0.5
Houston Rockets,43.0,23.0,20.0,53.5,4.0,9.5,2.8,6.4,43.7,0.6,1.6,37.1,3.3,4.1,79.7,1.1,2.5,3.6,1.4,1.1,0.6,0.4,0.6,2.4,0.0,1.3
Milwaukee Bucks,50.0,25.0,25.0,50.0,4.4,9.5,3.0,7.6,39.4,0.7,2.3,30.2,2.9,3.7,78.7,1.4,2.6,4.0,1.7,1.0,0.9,0.4,0.5,3.3,0.0,-0.1
Chicago Bulls,37.0,18.0,19.0,48.6,4.2,8.9,3.0,6.7,44.2,0.6,1.5,40.7,2.3,3.3,70.5,1.0,2.6,3.6,1.3,1.2,0.4,0.5,0.5,2.9,0.0,-0.2
New York Knicks,58.0,28.0,30.0,48.3,3.6,7.4,2.3,5.9,39.6,0.6,1.5,41.4,2.1,2.8,75.2,1.0,2.1,3.2,1.2,0.9,0.5,0.3,0.5,2.4,0.0,-0.5
Seattle SuperSonics,48.0,23.0,25.0,47.9,4.1,8.4,2.9,6.5,44.1,0.7,1.7,38.6,2.0,2.8,70.6,0.8,2.7,3.5,1.7,0.9,0.4,0.2,0.4,2.6,0.0,0.0
Indiana Pacers,42.0,20.0,22.0,47.6,4.9,8.8,2.6,7.0,37.5,0.5,1.6,27.9,3.1,4.0,78.6,1.1,3.1,4.2,1.6,1.5,0.8,0.5,0.5,2.5,0.0,-0.9
Orlando Magic,45.0,21.0,24.0,46.7,3.8,7.5,2.3,5.8,38.9,0.6,1.9,29.9,2.4,3.4,71.2,1.0,2.8,3.7,1.3,1.1,0.4,0.2,0.3,2.3,0.0,0.0
Washington Wizards,51.0,23.0,28.0,45.1,3.9,8.1,2.4,5.7,41.7,0.1,0.7,16.2,3.2,4.0,80.9,0.9,2.5,3.5,1.0,1.0,0.7,0.5,0.4,2.5,0.0,-0.4
Golden State Warriors,49.0,22.0,27.0,44.9,3.0,7.0,2.0,5.1,39.8,0.4,1.3,28.6,2.6,3.6,72.3,1.0,1.9,2.9,0.8,1.0,0.6,0.4,0.4,1.9,0.0,-0.2
New Jersey Nets,37.0,16.0,21.0,43.2,3.9,6.8,2.0,6.1,32.2,0.3,1.6,20.7,2.5,3.4,73.6,1.2,2.5,3.6,1.1,1.1,0.6,0.4,0.4,2.5,0.0,-1.4
Memphis Grizzlies,42.0,18.0,24.0,42.9,4.7,9.7,3.1,7.6,40.6,0.7,1.9,35.9,2.9,3.9,74.7,1.3,3.0,4.3,1.4,1.2,0.6,0.6,0.4,2.9,0.0,-0.7
Toronto Raptors,45.0,17.0,28.0,37.8,3.7,7.8,2.3,6.0,37.9,0.4,1.3,30.5,2.8,3.6,79.0,1.1,2.4,3.5,1.3,1.1,0.6,0.6,0.3,2.7,0.0,-0.4
Cleveland Cavaliers,36.0,13.0,23.0,36.1,4.4,7.9,2.1,6.5,32.9,0.4,1.3,28.9,3.3,4.4,75.2,1.2,3.0,4.2,1.2,1.5,0.7,0.6,0.5,2.8,0.0,-1.2
Los Angeles Clippers,48.0,17.0,31.0,35.4,3.9,8.1,2.3,5.8,39.1,0.4,1.3,29.7,3.2,4.4,72.0,1.0,2.2,3.2,1.3,1.3,0.6,0.4,0.5,2.9,0.0,-2.1
Miami Heat,41.0,13.0,28.0,31.7,4.1,6.9,2.1,6.5,33.2,0.4,2.0,21.3,2.2,2.9,76.3,1.2,2.4,3.6,1.0,1.4,0.5,0.4,0.5,2.8,0.0,-1.2
Denver Nuggets,33.0,7.0,26.0,21.2,3.6,6.3,2.1,5.5,37.9,0.3,1.0,32.4,1.8,2.4,74.7,1.0,2.2,3.2,1.4,1.2,0.5,0.4,0.7,3.0,0.0,-2.2
